Suggested Negative,Triggered Keyword,Campaign,Ad Group,How It Matched,Impressions,Clicks,Cost,CPC,Keyword Regs,Reason
bulk 3 ply toilet paper,"""tissue paper distributor""",AU_Generic_P-V_Janitorial,Paper_Distributor_Phrase,Phrase match (close variant),5,2,14.93,7.47,0,Close variant leakage on zero-reg keyword
koh cleaning,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),121,3,14.9,4.97,0,Close variant leakage on zero-reg keyword
bulk dog biscuits wholesale,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),3,2,14.89,7.45,0,Close variant leakage on zero-reg keyword
wholesale hoodies australia,"""wholesaler au""",AU_Generic,Wholesalers_Phrase,Phrase match (close variant),5,2,14.87,7.44,0,Close variant leakage on zero-reg keyword
business cards printing,[business cards vendor],AU_Generic_P-V_Office,Office-Supplies_Exact,Exact match (close variant),27,2,14.87,7.44,0,Close variant leakage on zero-reg keyword
for all cleaner where to buy,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),7,3,14.86,4.95,0,Close variant leakage on zero-reg keyword
paper towel bulk,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk,Exact match (close variant),34,2,14.84,7.42,0,Close variant leakage on zero-reg keyword
paper towel bulk,[bulk paper towels],AU_Generic_P-V_Janitorial,Paper_Bulk,Exact match (close variant),34,2,14.84,7.42,0,Close variant leakage on zero-reg keyword
bulk dog treats,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),17,4,14.77,3.69,0,Close variant leakage on zero-reg keyword
a5 notebooks bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,14.76,7.38,0,Close variant leakage on zero-reg keyword
a4 paper,"""office products""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),7,2,14.76,7.38,0,Close variant leakage on zero-reg keyword
electrolyzed ion kitchen cleaner,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),19,3,14.7,4.9,0,Close variant leakage on zero-reg keyword
golf clothing supplier,"""wholesale sportswear""",AU_Generic_P-V_Apparel,Sportware_Wholesales_Phrase,Phrase match (close variant),1,2,14.64,7.32,0,Close variant leakage on zero-reg keyword
bulk toilet rolls,"""wholesale toilet paper""",AU_Generic_P-V_Janitorial,Paper_Wholesale_Phrase,Exact match (close variant),16,2,14.61,7.31,0,Close variant leakage on zero-reg keyword
jiffy shirts,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),19,4,14.6,3.65,0,Close variant leakage on zero-reg keyword
nutella wholesale,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match (close variant),1,2,14.6,7.3,0,Close variant leakage on zero-reg keyword
pasta in bulk,[pasta wholesalers],AU_Generic_P-V_Food,Food_Wholesalers_Exact,Exact match (close variant),6,3,14.57,4.86,0,Close variant leakage on zero-reg keyword
china wholesaler,"""buy wholesale""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),1,2,14.48,7.24,0,Close variant leakage on zero-reg keyword
commercial tea towels,"""hospitality supplies""",AU_Generic_P-V_Hospitality,Hospitality_Phrase,Phrase match (close variant),8,2,14.47,7.24,0,Close variant leakage on zero-reg keyword
wholesale activewear suppliers,"""sportswear suppliers""",AU_Generic_P-V_Apparel,Sportware_Suppliers_Phrase,Phrase match (close variant),8,3,14.47,4.82,0,Close variant leakage on zero-reg keyword
wholesale chocolate chips,"""wholesale chocolate""",AU_Generic_P-V_Food,Food_Wholesale_Phrase,Phrase match,2,2,14.42,7.21,0,Review — low relevance signal
print business cards,[business cards],AU_Generic,Office Supplies_Exact,Exact match (close variant),49,2,14.4,7.2,0,Close variant leakage on zero-reg keyword
tissue paper bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),21,3,14.37,4.79,0,Close variant leakage on zero-reg keyword
tissue paper bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),21,3,14.37,4.79,0,Close variant leakage on zero-reg keyword
bulk boxes,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,2,14.37,7.19,0,Close variant leakage on zero-reg keyword
bulk confectionery,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),7,2,14.37,7.19,0,Close variant leakage on zero-reg keyword
wholesale car diffusers,"""air fresheners distributor""",AU_Generic_P-V_Janitorial,Odour_Distributor_Phrase,Phrase match (close variant),3,2,14.36,7.18,0,Close variant leakage on zero-reg keyword
plastic shopping bags bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),5,2,14.35,7.18,0,Close variant leakage on zero-reg keyword
magnetic gift boxes wholesale australia,"""gift wholesaler""",AU_Generic_P-V_Shops,Wholesalers_Gifts_Phrase,Phrase match (close variant),12,3,14.33,4.78,0,Close variant leakage on zero-reg keyword
industrial kitchen mats,"""professional floor mats""",AU_Generic_P-V_Janitorial,Floor-Care_Phrase,Phrase match (close variant),1,2,14.26,7.13,0,Close variant leakage on zero-reg keyword
pallet of toilet paper,"""bulk commercial toilet paper""",AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,Phrase match (close variant),3,2,14.26,7.13,0,Close variant leakage on zero-reg keyword
office drawers,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),33,3,14.26,4.75,0,Close variant leakage on zero-reg keyword
industrial cleaning supplies,[janitorial products],AU_Generic_P-V_Janitorial,Products_Exact,Exact match (close variant),11,3,14.23,4.74,0,Close variant leakage on zero-reg keyword
beanies bulk,"""hats bulk""",AU_Generic_P-V_Apparel,Outerwear_Bulk_Phrase,Phrase match (close variant),4,2,14.21,7.11,0,Close variant leakage on zero-reg keyword
merchandise display stands,"""store fittings""",AU_Generic_P-V_Shops,Furniture_Phrase,Phrase match (close variant),9,3,14.18,4.73,0,Close variant leakage on zero-reg keyword
wholesaler newcastle,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),1,2,14.16,7.08,0,Close variant leakage on zero-reg keyword
bulk oversized t shirts,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),5,4,14.14,3.54,0,Close variant leakage on zero-reg keyword
bulk buying for resale australia,"""bulk for shop""",AU_Generic_P-V_Shops,Bulk_Phrase,Phrase match (close variant),8,3,14.13,4.71,0,Close variant leakage on zero-reg keyword
easter eggs in bulk,"""bulk easter sweets""",AU_Generic_P-V_Food,Sweets_Bulk_Phrase,Phrase match (close variant),5,3,14.12,4.71,0,Close variant leakage on zero-reg keyword
glass spray bottles bulk,"""bulk spray bottles""",AU_Generic_P-V_Janitorial,Tools_Bulk_Phrase,Phrase match,4,2,14.1,7.05,0,Review — low relevance signal
wholesale suppliers for small business,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),2,2,14.1,7.05,0,Close variant leakage on zero-reg keyword
cap supplier philippines,"""headwear distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),1,2,14.08,7.04,0,Close variant leakage on zero-reg keyword
tshirt wholesale australia,"""t-shirts suppliers""",AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,Phrase match (close variant),5,2,14.08,7.04,0,Close variant leakage on zero-reg keyword
hat suppliers,"""headwear distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Exact match (close variant),3,2,14.07,7.04,0,Close variant leakage on zero-reg keyword
bleach bulk,"""bulk cleaning""",AU_Generic_P-V_Janitorial,Products_Bulk_Phrase,Phrase match (close variant),5,2,14.06,7.03,0,Close variant leakage on zero-reg keyword
gloves wholesale,"""wholesale gloves""",AU_Generic_P-V_Apparel,Accessories_Wholesales_Phrase,Exact match (close variant),8,2,14.04,7.02,0,Close variant leakage on zero-reg keyword
buy bulk food online,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,14.04,7.02,0,Close variant leakage on zero-reg keyword
bain marie trays with lids,"""commercial trays""",AU_Generic_P-V_Food,Plates_Phrase,Phrase match (close variant),5,2,14.02,7.01,0,Close variant leakage on zero-reg keyword
tissue paper bulk australia,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,Phrase match (close variant),5,2,14.01,7.01,0,Close variant leakage on zero-reg keyword
tissue paper bulk australia,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,Phrase match (close variant),5,2,14.01,7.01,0,Close variant leakage on zero-reg keyword
dove soap bars bulk,"""bulk soap""",AU_Generic_P-V_Janitorial,Soap_Bulk_Phrase,Phrase match,3,2,14.01,7.01,0,Review — low relevance signal
hotel hair dryer wall mounted,"""hotel equipment""",AU_Generic_P-V_Hospitality,Products_Phrase,Phrase match (close variant),3,2,14.01,7.01,0,Close variant leakage on zero-reg keyword
bulk buys australia,"""bulk for shop""",AU_Generic_P-V_Shops,Bulk_Phrase,Phrase match (close variant),18,2,13.99,7.0,0,Close variant leakage on zero-reg keyword
book wholesalers australia,"""books wholesalers""",AU_Generic_P-V_Shops,Wholesalers_Books Shop_Phrase,Phrase match,12,2,13.98,6.99,0,Review — low relevance signal
wholesale cardboard boxes,"""bulk packaging""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,2,13.93,6.97,0,Close variant leakage on zero-reg keyword
bulk easter eggs,"""bulk easter sweets""",AU_Generic_P-V_Food,Sweets_Bulk_Phrase,Phrase match (close variant),28,3,13.92,4.64,0,Close variant leakage on zero-reg keyword
wholesale food suppliers,[wholesale foodstuffs],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),16,3,13.92,4.64,0,Close variant leakage on zero-reg keyword
commercial cleaning supplies,[commercial cleaning supply],AU_Generic_P-V_Shops,Catalog_Exact,Exact match (close variant),22,2,13.9,6.95,0,Close variant leakage on zero-reg keyword
best product to start a business,[products for start-ups],AU_Generic,Enterprises_Products_Exact,Exact match (close variant),2,2,13.9,6.95,0,Close variant leakage on zero-reg keyword
jewellery boxes wholesale,"""wholesale accessories""",AU_Generic_P-V_Shops,Accessories_Wholesale_Phrase,Phrase match (close variant),4,2,13.87,6.94,0,Close variant leakage on zero-reg keyword
wholesale products australia,"""wholesale items""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),1,2,13.86,6.93,0,Close variant leakage on zero-reg keyword
bulk business cards,"""business cards vendor""",AU_Generic,Office Supplies_Phrase,Phrase match (close variant),2,2,13.86,6.93,0,Close variant leakage on zero-reg keyword
cheap business cards,"""business cards business""",AU_Generic_P-V_Office,Office-Supplies_Phrase,Phrase match (close variant),24,3,13.84,4.61,0,Close variant leakage on zero-reg keyword
mop,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),60,3,13.84,4.61,0,Close variant leakage on zero-reg keyword
business cards officeworks,"""business cards online""",AU_Generic_P-V_Office,Office-Supplies_Phrase,Phrase match (close variant),52,2,13.83,6.92,0,Close variant leakage on zero-reg keyword
desk cable management,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),31,3,13.82,4.61,0,Close variant leakage on zero-reg keyword
bulk order custom t shirts,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),1,2,13.8,6.9,0,Close variant leakage on zero-reg keyword
commercial cleaning supplies,[janitorial products],AU_Generic_P-V_Janitorial,Products_Exact,Exact match (close variant),19,2,13.77,6.89,0,Close variant leakage on zero-reg keyword
cheap bulk items to resell,"""purchasing large quantities""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),1,2,13.75,6.88,0,Close variant leakage on zero-reg keyword
bulk buy cleaning products,[bulk cleaning],AU_Generic_P-V_Janitorial,Products_Bulk_Exact,Exact match (close variant),6,2,13.74,6.87,0,Close variant leakage on zero-reg keyword
butter wholesale melbourne,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),7,2,13.7,6.85,0,Close variant leakage on zero-reg keyword
bulk paper cups,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),12,2,13.69,6.85,0,Close variant leakage on zero-reg keyword
bulk paper cups,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),12,2,13.69,6.85,0,Close variant leakage on zero-reg keyword
commercial cleaning supplies,[industrial cleaning products],AU_Generic_P-V_Janitorial,Industrial-Chemicals_Exact,Exact match (close variant),16,2,13.66,6.83,0,Close variant leakage on zero-reg keyword
office desk,"""office products""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),43,2,13.65,6.83,0,Close variant leakage on zero-reg keyword
paper towel bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),40,2,13.65,6.83,0,Close variant leakage on zero-reg keyword
ecolab products,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),33,3,13.65,4.55,0,Close variant leakage on zero-reg keyword
paper towel bulk,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),40,2,13.65,6.83,0,Close variant leakage on zero-reg keyword
business card printing,[business cards vendor],AU_Generic_P-V_Office,Office-Supplies_Exact,Exact match (close variant),38,3,13.64,4.55,0,Close variant leakage on zero-reg keyword
alibaba wholesale,"""wholesale other""",AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Phrase match (close variant),32,3,13.64,4.55,0,Close variant leakage on zero-reg keyword
hand sanitiser bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),7,2,13.62,6.81,0,Close variant leakage on zero-reg keyword
wholesalers,"""bulk seller""",AU_Generic,Bulk_Sellers_Phrase,Exact match (close variant),14,2,13.62,6.81,0,Close variant leakage on zero-reg keyword
bulk energy drinks,"""bulk beverages""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match (close variant),20,4,13.62,3.41,0,Close variant leakage on zero-reg keyword
up and go bulk wholesale,"""products in large quantities""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,3,13.6,4.53,0,Close variant leakage on zero-reg keyword
cable management tray,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),43,3,13.59,4.53,0,Close variant leakage on zero-reg keyword
wholesale cleaning supplies,[bulk cleaning supplies],AU_Generic_P-V_Janitorial,Supply_Bulk_Exact,Exact match (close variant),8,3,13.55,4.52,0,Close variant leakage on zero-reg keyword
bulk suppliers australia,"""bulk seller""",AU_Generic,Bulk_Sellers_Phrase,Phrase match (close variant),8,2,13.51,6.76,0,Close variant leakage on zero-reg keyword
bulk needles,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),4,2,13.49,6.75,0,Close variant leakage on zero-reg keyword
wholesale fabric suppliers australia,"""fabric wholesale""",AU_Generic_P-V_Materials,Wholesales_Textiles_Phrase,Phrase match,7,2,13.4,6.7,0,Review — low relevance signal
wholesale food,[foods wholesalers],AU_Generic_P-V_Food,Food_Wholesalers_Exact,Exact match (close variant),25,3,13.39,4.46,0,Close variant leakage on zero-reg keyword
office storage,"""office supplies""",AU_Generic_P-V_Office,Office_Phrase,Phrase match (close variant),28,4,13.38,3.35,0,Close variant leakage on zero-reg keyword
butter supplier,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),3,3,13.35,4.45,0,Close variant leakage on zero-reg keyword
milestone cleaning products,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match,6,3,13.3,4.43,0,Review — low relevance signal
beco kitchen cleaner,"""cleaning products""",AU_Generic_P-V_Janitorial,Products_Phrase,Phrase match (close variant),11,3,13.29,4.43,0,Close variant leakage on zero-reg keyword
wholesale dropshipping australia,"""wholesale purchases""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),2,2,13.28,6.64,0,Close variant leakage on zero-reg keyword
deskmat,"""desk equipment""",AU_Generic_P-V_Office,Products_Phrase,Phrase match (close variant),18,3,13.23,4.41,0,Close variant leakage on zero-reg keyword
bulk chip packets,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),7,2,13.23,6.62,0,Close variant leakage on zero-reg keyword
commercial cafe equipment,"""equipment for businesses""",AU_Generic,Enterprises_Products_Phrase,Phrase match (close variant),2,2,13.21,6.61,0,Close variant leakage on zero-reg keyword
wholesale candles australia,"""wholesale products""",AU_Generic,Wholesales_Products_Phrase,Phrase match (close variant),9,3,13.18,4.39,0,Close variant leakage on zero-reg keyword
dropshipping suppliers australia,"""suppliers products""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),16,2,13.16,6.58,0,Close variant leakage on zero-reg keyword
outdoor umbrella for restaurant,"""umbrellas distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),1,2,13.14,6.57,0,Close variant leakage on zero-reg keyword
wholesale food suppliers,[food wholesale market],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),30,4,13.13,3.28,0,Close variant leakage on zero-reg keyword
wholesale shoes,[bulk shoes],AU_Generic_P-V_Apparel,Eyewear_Wholesales_Exact,Exact match (close variant),5,3,13.12,4.37,0,Close variant leakage on zero-reg keyword
notebooks,"""order stationery""",AU_Generic_P-V_Office,Stationery_Phrase,Phrase match (close variant),59,4,13.1,3.28,0,Close variant leakage on zero-reg keyword
cleaning equipment,[cleaning equipment],AU_Generic_P-V_Janitorial,Products_Exact,Exact match,18,2,13.08,6.54,0,Review — low relevance signal
bulk t shirts under 1 australia,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),13,4,13.06,3.27,0,Close variant leakage on zero-reg keyword
buy bulk soft drink australia,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),8,2,13.04,6.52,0,Close variant leakage on zero-reg keyword
bulk tshirt blanks,"""shirts distributors""",AU_Generic_P-V_Apparel,Tops_Distributors_Phrase,Phrase match (close variant),6,3,13.02,4.34,0,Close variant leakage on zero-reg keyword
bulk paper towel,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),26,3,13.01,4.34,0,Close variant leakage on zero-reg keyword
bulk books wholesale,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),1,2,13.01,6.51,0,Close variant leakage on zero-reg keyword
bulk paper towel,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),26,3,13.01,4.34,0,Close variant leakage on zero-reg keyword
cleaning supplies online,[cleaning buy],AU_Generic_P-V_Janitorial,Purchasing_Exact,Exact match (close variant),8,2,13.0,6.5,0,Close variant leakage on zero-reg keyword
bulk shirts,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),7,2,12.92,6.46,0,Close variant leakage on zero-reg keyword
wholesale purchase online,"""wholesale other""",AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Phrase match (close variant),1,2,12.86,6.43,0,Close variant leakage on zero-reg keyword
coloured paper bags wholesale,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),2,2,12.85,6.43,0,Close variant leakage on zero-reg keyword
coloured paper bags wholesale,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),2,2,12.85,6.43,0,Close variant leakage on zero-reg keyword
wholesale butter blocks,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),4,2,12.85,6.43,0,Close variant leakage on zero-reg keyword
bulk snacks,[bulk snacks],AU_Generic_P-V_Food,Food_Bulk_Exact,Exact match,27,3,12.85,4.28,0,Review — low relevance signal
cheap bulk groceries online australia,"""buy bulk online""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),8,4,12.85,3.21,0,Close variant leakage on zero-reg keyword
bulk nail glue,"""bulk nail accessories""",AU_Generic_P-V_Beauty,Nail-Care_Bulk_Phrase,Phrase match (close variant),4,2,12.76,6.38,0,Close variant leakage on zero-reg keyword
wholesale handbags,"""wholesale accessories""",AU_Generic_P-V_Shops,Accessories_Wholesale_Phrase,Phrase match (close variant),2,2,12.72,6.36,0,Close variant leakage on zero-reg keyword
bulk dog bandanas,"""bulk pet supplies""",AU_Generic_P-V_Shops,Bulk_Pet Shop_Phrase,Phrase match (close variant),3,2,12.72,6.36,0,Close variant leakage on zero-reg keyword
business merch,[company items],AU_Generic,Enterprises_Products_Exact,Exact match (close variant),12,2,12.69,6.35,0,Close variant leakage on zero-reg keyword
laundry detergent bulk,"""detergent distributor""",AU_Generic_P-V_Janitorial,Detergent_Distributor_Phrase,Phrase match (close variant),2,2,12.66,6.33,0,Close variant leakage on zero-reg keyword
stationery,[order stationery],AU_Generic_P-V_Office,Stationery_Exact,Exact match (close variant),79,3,12.65,4.22,0,Close variant leakage on zero-reg keyword
bulk shopping bags,"""bags distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),7,3,12.65,4.22,0,Close variant leakage on zero-reg keyword
bulk lentils,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),19,2,12.64,6.32,0,Close variant leakage on zero-reg keyword
dropshipping suppliers,"""suppliers products""",AU_Generic,Suppliers_Products_Phrase,Phrase match (close variant),19,2,12.6,6.3,0,Close variant leakage on zero-reg keyword
red bull bulk,"""bulk beverages""",AU_Generic_P-V_Food,Food_Bulk_Phrase,Phrase match (close variant),10,4,12.58,3.15,0,Close variant leakage on zero-reg keyword
alibaba wholesale,"""wholesaler traders""",AU_Generic,Wholesalers_Enterprises_Phrase,Phrase match (close variant),6,2,12.56,6.28,0,Close variant leakage on zero-reg keyword
wholesale printed shirts,"""t-shirts suppliers""",AU_Generic_P-V_Apparel,Tops_Suppliers_Phrase,Phrase match (close variant),1,2,12.54,6.27,0,Close variant leakage on zero-reg keyword
xanthan gum bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),5,2,12.5,6.25,0,Close variant leakage on zero-reg keyword
bulk food,"""purchasing bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match (close variant),12,2,12.47,6.24,0,Close variant leakage on zero-reg keyword
wholesale chocolate suppliers australia,"""chocolate wholesalers""",AU_Generic_P-V_Food,Food_Wholesalers_Phrase,Phrase match,14,2,12.45,6.23,0,Review — low relevance signal
nanoplasty wholesale,"""cosmetic salon wholesaler""",AU_Generic_P-V_Beauty,Wholesalers_Cosmetics_Phrase,Phrase match (close variant),4,2,12.44,6.22,0,Close variant leakage on zero-reg keyword
business supplies,[suppliers office],AU_Generic_P-V_Office,Suppliers_Exact,Exact match (close variant),13,2,12.43,6.22,0,Close variant leakage on zero-reg keyword
easter egg bulk cheap,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),1,2,12.42,6.21,0,Close variant leakage on zero-reg keyword
wholesale soap making supplies australia,"""soap supplier""",AU_Generic_P-V_Janitorial,Soap_Supplier_Phrase,Phrase match (close variant),11,3,12.41,4.14,0,Close variant leakage on zero-reg keyword
bulk plain t shirts,"""clothing bulk""",AU_Generic_P-V_Shops,Clothing_Bulk_Phrase,Phrase match (close variant),7,2,12.4,6.2,0,Close variant leakage on zero-reg keyword
buy bulk foods,[wholesale foodstuffs],AU_Generic_P-V_Food,Wholesales_Food_Exact,Exact match (close variant),6,2,12.39,6.2,0,Close variant leakage on zero-reg keyword
bulk chocolates,[bulk boxed chocolate],AU_Generic_P-V_Food,Food_Bulk_Exact,Exact match (close variant),22,4,12.39,3.1,0,Close variant leakage on zero-reg keyword
wholesale distributors australia,"""wholesale other""",AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Phrase match (close variant),19,2,12.39,6.2,0,Close variant leakage on zero-reg keyword
china wholesale suppliers,"""bulk distributor""",AU_Generic,Bulk_Distributors_Phrase,Phrase match (close variant),4,2,12.38,6.19,0,Close variant leakage on zero-reg keyword
best place to buy bulk food online australia,"""bulk goods""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),21,3,12.37,4.12,0,Close variant leakage on zero-reg keyword
ecolab products australia,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),5,2,12.36,6.18,0,Close variant leakage on zero-reg keyword
commercial carpet cleaner,"""industrial cleaning products""",AU_Generic_P-V_Janitorial,Industrial-Chemicals_Phrase,Phrase match (close variant),14,2,12.35,6.18,0,Close variant leakage on zero-reg keyword
dinner set wholesale,[dinnerware sets suppliers],AU_Generic_P-V_Food,Cultlery_Suppliers_Exact,Exact match (close variant),2,2,12.35,6.18,0,Close variant leakage on zero-reg keyword
business card printing melbourne,"""business cards business""",AU_Generic_P-V_Office,Office-Supplies_Phrase,Phrase match (close variant),12,2,12.3,6.15,0,Close variant leakage on zero-reg keyword
bulk buy groceries australia,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match,8,2,12.24,6.12,0,Review — low relevance signal
wholesale blank shirts,"""wholesale casual""",AU_Generic_P-V_Apparel,Dresses_Wholesales_Phrase,Phrase match (close variant),4,2,12.2,6.1,0,Close variant leakage on zero-reg keyword
wholesale bulk spices suppliers,"""buy wholesale""",AU_Generic,Wholesales_Buy_Phrase,Phrase match (close variant),3,2,12.18,6.09,0,Close variant leakage on zero-reg keyword
bulk baby wipes,"""bulk disposable wipes""",AU_Generic_P-V_Janitorial,Paper_Bulk_Phrase,Phrase match (close variant),8,2,12.17,6.09,0,Close variant leakage on zero-reg keyword
bulk shampoo and conditioner,"""bulk conditioner""",AU_Generic_P-V_Beauty,Hair-Styling_Bulk_Phrase,Phrase match,17,2,12.14,6.07,0,Review — low relevance signal
gift bags wholesale australia,"""bags distributors""",AU_Generic_P-V_Apparel,Accessories_Distributors_Phrase,Phrase match (close variant),12,2,12.14,6.07,0,Close variant leakage on zero-reg keyword
condensed milk bulk,"""bulk products""",AU_Generic,Bulk_Products_Phrase,Phrase match (close variant),2,2,12.07,6.04,0,Close variant leakage on zero-reg keyword
buy in bulk online cheap,"""buy bulk""",AU_Generic,Bulk_Buy_Phrase,Phrase match,3,2,12.07,6.04,0,Review — low relevance signal
wholesale makeup,[wholesale makeup],AU_Generic_P-V_Beauty,Makeup_Wholesale_Exact,Exact match,17,3,12.06,4.02,0,Review — low relevance signal
bulk tissue paper near me,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),4,2,12.04,6.02,0,Close variant leakage on zero-reg keyword
bulk tissue paper near me,"""bulk paper products""",AU_Generic_P-V_Janitorial,Paper_Bulk,Phrase match (close variant),4,2,12.04,6.02,0,Close variant leakage on zero-reg keyword
professional cleaning products,[janitorial products],AU_Generic_P-V_Janitorial,Products_Exact,Exact match (close variant),12,3,12.03,4.01,0,Close variant leakage on zero-reg keyword
officeworks business cards,"""business cards online""",AU_Generic_P-V_Office,Office-Supplies_Phrase,Phrase match (close variant),62,2,12.02,6.01,0,Close variant leakage on zero-reg keyword
bulk lighters,"""bulk accessories""",AU_Generic_P-V_Shops,Accessories_Bulk_Phrase,Phrase match (close variant),23,3,12.01,4.0,0,Close variant leakage on zero-reg keyword
how to get suppliers for dropshipping,"""other suppliers""",AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Phrase match (close variant),2,2,11.96,5.98,0,Close variant leakage on zero-reg keyword
